size,seed,role,algo,repeat,ok,error,time_ns,tracemalloc_peak_bytes,rss_delta_bytes,ascii_h,ascii_w,wall_count,corridor_count,path_length,explored_count,visited_count,other_count
8,5,solver,Backtracking,5,1,,869200,31996,0,17,17,160,129,51,78,129,0
8,1,solver,AStar,1,1,,374900,19588,0,17,17,160,129,51,2,53,0
8,2,solver,AStar,2,1,,370700,19588,0,17,17,160,129,51,2,53,0
8,3,solver,AStar,3,1,,359300,19588,0,17,17,160,129,51,2,53,0
8,4,solver,AStar,4,1,,374700,19588,0,17,17,160,129,51,2,53,0
8,5,solver,AStar,5,1,,361700,19588,0,17,17,160,129,51,2,53,0
9,1,generator,Backtracking,1,1,,1331800,12916,0,19,19,198,163,0,0,0,0
9,2,generator,Backtracking,2,1,,1168000,12316,0,19,19,198,163,0,0,0,0
9,3,generator,Backtracking,3,1,,1165700,12204,0,19,19,198,163,0,0,0,0
9,4,generator,Backtracking,4,1,,1203300,11716,0,19,19,198,163,0,0,0,0
9,5,generator,Backtracking,5,1,,1156800,11716,0,19,19,198,163,0,0,0,0
9,1,generator,Kruskal,1,1,,561100,33748,8192,19,19,198,163,0,0,0,0
9,2,generator,Kruskal,2,1,,567700,33748,4096,19,19,198,163,0,0,0,0
9,3,generator,Kruskal,3,1,,557500,33748,0,19,19,198,163,0,0,0,0
9,4,generator,Kruskal,4,1,,542500,33748,0,19,19,198,163,0,0,0,0
9,5,generator,Kruskal,5,1,,560800,33748,0,19,19,198,163,0,0,0,0
9,1,solver,Backtracking,1,1,,1010400,37812,4096,19,19,198,163,75,88,163,0
9,2,solver,Backtracking,2,1,,1090000,37812,4096,19,19,198,163,75,88,163,0
9,3,solver,Backtracking,3,1,,1011400,37812,0,19,19,198,163,75,88,163,0
9,4,solver,Backtracking,4,1,,1016100,37812,0,19,19,198,163,75,88,163,0
9,5,solver,Backtracking,5,1,,993100,37812,0,19,19,198,163,75,88,163,0
9,1,solver,AStar,1,1,,609100,35516,0,19,19,198,163,75,22,97,0
9,2,solver,AStar,2,1,,629400,35516,0,19,19,198,163,75,22,97,0
9,3,solver,AStar,3,1,,586400,35516,0,19,19,198,163,75,22,97,0
9,4,solver,AStar,4,1,,648500,35516,0,19,19,198,163,75,22,97,0
9,5,solver,AStar,5,1,,615000,35516,0,19,19,198,163,75,22,97,0
10,1,generator,Backtracking,1,1,,1426700,14292,0,21,21,240,201,0,0,0,0
10,2,generator,Backtracking,2,1,,1416600,13676,0,21,21,240,201,0,0,0,0
10,3,generator,Backtracking,3,1,,1417300,13300,0,21,21,240,201,0,0,0,0
10,4,generator,Backtracking,4,1,,1406600,12908,0,21,21,240,201,0,0,0,0
10,5,generator,Backtracking,5,1,,1450000,12964,0,21,21,240,201,0,0,0,0
10,1,generator,Kruskal,1,1,,679000,41004,0,21,21,240,201,0,0,0,0
10,2,generator,Kruskal,2,1,,690200,41004,8192,21,21,240,201,0,0,0,0
10,3,generator,Kruskal,3,1,,674300,41004,8192,21,21,240,201,0,0,0,0
10,4,generator,Kruskal,4,1,,726800,41004,0,21,21,240,201,0,0,0,0
10,5,generator,Kruskal,5,1,,691600,41004,8192,21,21,240,201,0,0,0,0
10,1,solver,Backtracking,1,1,,1199800,50204,0,21,21,240,201,103,96,199,0
10,2,solver,Backtracking,2,1,,1206500,50204,0,21,21,240,201,103,96,199,0
10,3,solver,Backtracking,3,1,,1202600,50204,0,21,21,240,201,103,96,199,0
10,4,solver,Backtracking,4,1,,1208600,50204,0,21,21,240,201,103,96,199,0
10,5,solver,Backtracking,5,1,,1220600,50204,0,21,21,240,201,103,96,199,0
10,1,solver,AStar,1,1,,1005400,38996,0,21,21,240,201,103,50,153,0
10,2,solver,AStar,2,1,,909500,38996,0,21,21,240,201,103,50,153,0
10,3,solver,AStar,3,1,,888400,38996,0,21,21,240,201,103,50,153,0
10,4,solver,AStar,4,1,,904700,38996,0,21,21,240,201,103,50,153,0
10,5,solver,AStar,5,1,,936000,38996,0,21,21,240,201,103,50,153,0
11,1,generator,Backtracking,1,1,,1747800,15364,0,23,23,286,243,0,0,0,0
11,2,generator,Backtracking,2,1,,3172400,15308,0,23,23,286,243,0,0,0,0
11,3,generator,Backtracking,3,1,,1713400,14620,0,23,23,286,243,0,0,0,0
11,4,generator,Backtracking,4,1,,1680900,14244,0,23,23,286,243,0,0,0,0
11,5,generator,Backtracking,5,1,,1972700,15252,0,23,23,286,243,0,0,0,0
11,1,generator,Kruskal,1,1,,794600,48820,0,23,23,286,243,0,0,0,0
11,2,generator,Kruskal,2,1,,864600,48820,16384,23,23,286,243,0,0,0,0
11,3,generator,Kruskal,3,1,,883500,48820,0,23,23,286,243,0,0,0,0
11,4,generator,Kruskal,4,1,,808700,48820,0,23,23,286,243,0,0,0,0
11,5,generator,Kruskal,5,1,,806300,48820,0,23,23,286,243,0,0,0,0
11,1,solver,Backtracking,1,1,,1489600,54948,0,23,23,286,243,143,86,229,0
11,2,solver,Backtracking,2,1,,1398500,54948,4096,23,23,286,243,143,86,229,0
11,3,solver,Backtracking,3,1,,1440500,54948,0,23,23,286,243,143,86,229,0
11,4,solver,Backtracking,4,1,,1378900,54948,0,23,23,286,243,143,86,229,0
11,5,solver,Backtracking,5,1,,1382600,54948,0,23,23,286,243,143,86,229,0
11,1,solver,AStar,1,1,,1351900,55068,0,23,23,286,243,143,80,223,0
11,2,solver,AStar,2,1,,1306900,55068,0,23,23,286,243,143,80,223,0
11,3,solver,AStar,3,1,,1269200,55068,0,23,23,286,243,143,80,223,0
11,4,solver,AStar,4,1,,1274600,55068,0,23,23,286,243,143,80,223,0
11,5,solver,AStar,5,1,,1273900,55068,0,23,23,286,243,143,80,223,0
12,1,generator,Backtracking,1,1,,2310100,19404,4096,25,25,336,289,0,0,0,0
12,2,generator,Backtracking,2,1,,2055600,18212,0,25,25,336,289,0,0,0,0
12,3,generator,Backtracking,3,1,,2020100,18676,0,25,25,336,289,0,0,0,0
12,4,generator,Backtracking,4,1,,2013000,17244,0,25,25,336,289,0,0,0,0
12,5,generator,Backtracking,5,1,,2206100,18380,0,25,25,336,289,0,0,0,0
12,1,generator,Kruskal,1,1,,979700,59020,8192,25,25,336,289,0,0,0,0
12,2,generator,Kruskal,2,1,,962300,59020,0,25,25,336,289,0,0,0,0
12,3,generator,Kruskal,3,1,,1076900,59020,0,25,25,336,289,0,0,0,0
12,4,generator,Kruskal,4,1,,992800,59020,0,25,25,336,289,0,0,0,0
12,5,generator,Kruskal,5,1,,1046800,59020,0,25,25,336,289,0,0,0,0
12,1,solver,Backtracking,1,1,,1642800,63548,4096,25,25,336,289,179,100,279,0
12,2,solver,Backtracking,2,1,,1728800,63548,69632,25,25,336,289,179,100,279,0
12,3,solver,Backtracking,3,1,,1636700,63548,0,25,25,336,289,179,100,279,0
12,4,solver,Backtracking,4,1,,1667400,63548,0,25,25,336,289,179,100,279,0
12,5,solver,Backtracking,5,1,,1659300,63548,0,25,25,336,289,179,100,279,0
12,1,solver,AStar,1,1,,1591000,58580,0,25,25,336,289,179,96,275,0
12,2,solver,AStar,2,1,,1524100,58580,0,25,25,336,289,179,96,275,0
12,3,solver,AStar,3,1,,1594100,58580,0,25,25,336,289,179,96,275,0
12,4,solver,AStar,4,1,,1530500,58580,0,25,25,336,289,179,96,275,0
12,5,solver,AStar,5,1,,1687800,58580,0,25,25,336,289,179,96,275,0
13,1,generator,Backtracking,1,1,,2468900,20724,0,27,27,390,339,0,0,0,0
13,2,generator,Backtracking,2,1,,2402700,20780,0,27,27,390,339,0,0,0,0
13,3,generator,Backtracking,3,1,,2372600,19724,0,27,27,390,339,0,0,0,0
13,4,generator,Backtracking,4,1,,2410900,21228,0,27,27,390,339,0,0,0,0
13,5,generator,Backtracking,5,1,,2450700,20396,0,27,27,390,339,0,0,0,0
13,1,generator,Kruskal,1,1,,1191500,68788,0,27,27,390,339,0,0,0,0
13,2,generator,Kruskal,2,1,,1162700,68788,0,27,27,390,339,0,0,0,0
13,3,generator,Kruskal,3,1,,1184400,68788,0,27,27,390,339,0,0,0,0
13,4,generator,Kruskal,4,1,,1180600,68788,40960,27,27,390,339,0,0,0,0
13,5,generator,Kruskal,5,1,,1247000,68788,8192,27,27,390,339,0,0,0,0
